Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
SLC9A2		5	5	0.5%	No
SLC9A3		5	5	0.5%	No
SLC15A1		5	5	0.5%	No
SLC19A1		6	5	0.5%	No
SMARCA4		6	5	0.5%	Yes
SOX9		5	5	0.5%	Yes
SRMS		6	5	0.5%	No
SSB		5	5	0.5%	No
ITPRID2		5	5	0.5%	No
SSTR1		6	5	0.5%	No
SSTR3		5	5	0.5%	No
ST5		6	5	0.5%	No
ST14		5	5	0.5%	No
STAT6		5	5	0.5%	Yes
NEK4		6	5	0.5%	No
SULT2A1		5	5	0.5%	No
SYK		5	5	0.5%	Yes
TACR3		5	5	0.5%	No
TAF2		7	5	0.5%	No
TARBP1		6	5	0.5%	No
TARS		5	5	0.5%	No
TBXAS1		5	5	0.5%	No
ELOA		5	5	0.5%	No
TCP1		5	5	0.5%	No
TEK		5	5	0.5%	Yes
TFR2		5	5	0.5%	No
KLF10		5	5	0.5%	No
ICAM5		5	5	0.5%	No
TLE4		5	5	0.5%	No
TLR2		5	5	0.5%	No
TNFAIP3		5	5	0.5%	Yes
TOP2B		5	5	0.5%	No
NR2C2		5	5	0.5%	No
TTC4		5	5	0.5%	No
HIRA		5	5	0.5%	Yes
TXNRD1		6	5	0.5%	No
U2AF1		5	5	0.5%	Yes
UBA1		5	5	0.5%	No
UBP1		5	5	0.5%	No
UBTF		5	5	0.5%	No
UGT2B10		6	5	0.5%	No
UMOD		6	5	0.5%	No
UQCRC1		5	5	0.5%	No
VCL		5	5	0.5%	No
VIM		5	5	0.5%	No
CLIP2		6	5	0.5%	No
WNT5A		5	5	0.5%	No
WNT6		5	5	0.5%	No
WT1		6	5	0.5%	Yes
ZIC3		5	5	0.5%	No
ZNF12		5	5	0.5%	No
PCGF2		6	5	0.5%	No
ZNF184		5	5	0.5%	No
ZNF195		7	5	0.5%	No
ZNF217		5	5	0.5%	Yes
ZP2		6	5	0.5%	No
CSDE1		5	5	0.5%	Yes
NPHS2		5	5	0.5%	No
ALDH5A1		5	5	0.5%	No
NR4A3		7	5	0.5%	Yes
PDHX		5	5	0.5%	No
FXR1		5	5	0.5%	No
GAN		6	5	0.5%	No
TMEM187		5	5	0.5%	No
AXIN2		6	5	0.5%	Yes
CDC45		5	5	0.5%	No
FZD1		5	5	0.5%	No
HYAL3		5	5	0.5%	No
PIP4K2B		5	5	0.5%	No
ZNF282		5	5	0.5%	No
CUL1		6	5	0.5%	No
ATRN		5	5	0.5%	No
SUPT3H		5	5	0.5%	No
SMARCA5		5	5	0.5%	No
MAP4K3		6	5	0.5%	No
PPM1D		5	5	0.5%	Yes
PPFIBP1		6	5	0.5%	Yes
RANBP3		5	5	0.5%	No
PPFIA1		5	5	0.5%	No
PKP4		5	5	0.5%	No
PIK3R3		5	5	0.5%	Yes
DGKD		5	5	0.5%	No
CPZ		5	5	0.5%	No
CHST1		5	5	0.5%	No
CBX4		5	5	0.5%	No
BARX2		5	5	0.5%	No
API5		6	5	0.5%	No
LGR5		6	5	0.5%	No
KMO		5	5	0.5%	No
CASK		5	5	0.5%	No
FAM193A		5	5	0.5%	No
OASL		5	5	0.5%	No
AOC3		5	5	0.5%	No
PCDHGB4		5	5	0.5%	No
ALDH4A1		5	5	0.5%	No
SLC4A4		5	5	0.5%	No
S1PR4		5	5	0.5%	No
TNFSF14		5	5	0.5%	No
RIPK2		5	5	0.5%	No
PROM1		5	5	0.5%	No
ALDH1A2		5	5	0.5%	No
STK19		5	5	0.5%	Yes
SYNJ2		5	5	0.5%	No
VNN2		5	5	0.5%	No
FUBP1		5	5	0.5%	Yes
MTMR2		5	5	0.5%	No
AP1G2		5	5	0.5%	No
HERC3		5	5	0.5%	No
TOP3B		5	5	0.5%	No
USP8		5	5	0.5%	Yes
LATS1		5	5	0.5%	Yes
PRPF4		5	5	0.5%	No
CBFA2T2		5	5	0.5%	No
MYOM2		7	5	0.5%	No
AP4M1		6	5	0.5%	No
OSMR		5	5	0.5%	No
SLC16A7		5	5	0.5%	No
MSC		5	5	0.5%	No
GCM2		5	5	0.5%	No
TRIP13		5	5	0.5%	Yes
GTF3C3		5	5	0.5%	No
EFTUD2		5	5	0.5%	No
PPIG		5	5	0.5%	No
COG1		5	5	0.5%	No
LIPG		6	5	0.5%	No
AIM2		5	5	0.5%	No
MAP4K4		6	5	0.5%	No
EIF2AK3		5	5	0.5%	No
CHST3		6	5	0.5%	No
GAL3ST1		5	5	0.5%	No
GOSR1		5	5	0.5%	No
IGDCC3		5	5	0.5%	No
GTF2IRD1		5	5	0.5%	No
APOBEC3B		5	5	0.5%	Yes
WTAP		5	5	0.5%	No
GCC2		5	5	0.5%	No
DZIP3		5	5	0.5%	No
IPO13		5	5	0.5%	No
GREB1		5	5	0.5%	No
UBE3C		6	5	0.5%	No
PUM1		5	5	0.5%	No
ST18		5	5	0.5%	No
KIAA0355		7	5	0.5%	No
SEMA3E		5	5	0.5%	No
HDAC9		5	5	0.5%	No
ACAP1		6	5	0.5%	No
CLSTN3		5	5	0.5%	No
KIAA0513		5	5	0.5%	No
RASSF2		5	5	0.5%	No
TMEM94		5	5	0.5%	No
SNX17		5	5	0.5%	No
MTSS1		5	5	0.5%	No
MAML1		5	5	0.5%	No
TSC22D2		5	5	0.5%	No
SPATA2		6	5	0.5%	No
JAKMIP2		5	5	0.5%	No
CEP170		7	5	0.5%	No
MAGI2		5	5	0.5%	No
TOX4		5	5	0.5%	No
SV2B		5	5	0.5%	No
SRGAP3		5	5	0.5%	No
G3BP2		5	5	0.5%	No
ATP2C2		5	5	0.5%	No
IQSEC1		5	5	0.5%	No
MFN2		5	5	0.5%	No
HELZ		5	5	0.5%	No
DCLRE1A		5	5	0.5%	No
XYLB		5	5	0.5%	No
GFPT2		5	5	0.5%	No
THRAP3		5	5	0.5%	No
DMTF1		5	5	0.5%	No
AP1M2		5	5	0.5%	No
ABCB6		5	5	0.5%	No
DNM1L		5	5	0.5%	No
TRIM10		5	5	0.5%	No
ENAM		5	5	0.5%	No
TRIM28		6	5	0.5%	No
SLC25A13		5	5	0.5%	No
SORBS3		5	5	0.5%	No
TSHZ1		6	5	0.5%	No
CALCRL		5	5	0.5%	No
RASGRP2		5	5	0.5%	No
EFS		5	5	0.5%	No
TRAIP		5	5	0.5%	No
MAEA		5	5	0.5%	No
ZNF267		10	5	0.5%	No
MRVI1		5	5	0.5%	No
CACNG3		5	5	0.5%	No
CORO2B		5	5	0.5%	No
UBAC1		5	5	0.5%	No
LRRN2		5	5	0.5%	No
GPNMB		5	5	0.5%	No
HOXB13		5	5	0.5%	Yes
NXF1		5	5	0.5%	No
SEMA6C		5	5	0.5%	No
KAT5		5	5	0.5%	No
PITRM1		5	5	0.5%	No
SLC34A2		5	5	0.5%	Yes
SORBS1		5	5	0.5%	No
COLEC10		5	5	0.5%	No
SH2B2		5	5	0.5%	No
HEXIM1		5	5	0.5%	No
ARID3B		5	5	0.5%	Yes
DMRT2		5	5	0.5%	No
CELF2		5	5	0.5%	No
CTCF		5	5	0.5%	Yes
FARS2		5	5	0.5%	No
DLL3		5	5	0.5%	No
TBR1		5	5	0.5%	No
TRAF3IP2		5	5	0.5%	No
ZNF234		5	5	0.5%	No
ZNF274		5	5	0.5%	No
IQGAP2		5	5	0.5%	No
SEPTIN9		6	5	0.5%	Yes
FRS2		5	5	0.5%	Yes
TUBGCP2		6	5	0.5%	No
SLC26A1		6	5	0.5%	No
ARID5A		5	5	0.5%	Yes
USP19		6	5	0.5%	No
WDR3		5	5	0.5%	No
GPR83		5	5	0.5%	No
PPARGC1A		5	5	0.5%	No
SERINC3		5	5	0.5%	No
RAB40B		5	5	0.5%	No
ASCC3		6	5	0.5%	No
IMMT		5	5	0.5%	No
SF3B2		5	5	0.5%	No
SLC27A4		5	5	0.5%	No
SLC27A3		5	5	0.5%	No
KIF2C		5	5	0.5%	No
LILRA1		5	5	0.5%	No
LILRA2		5	5	0.5%	No
OGFR		5	5	0.5%	No
SOX30		6	5	0.5%	No
RAPGEF4		5	5	0.5%	No
ADAMTS5		5	5	0.5%	No
EMILIN1		6	5	0.5%	No
FAF1		5	5	0.5%	Yes
CAPN10		5	5	0.5%	No
CDC37		7	5	0.5%	No
ADAMTS7		5	5	0.5%	No
ADAMTS6		5	5	0.5%	No
SLC2A6		7	5	0.5%	No
NISCH		5	5	0.5%	No
ABCB8		5	5	0.5%	No
SEC23IP		5	5	0.5%	No
KLK8		5	5	0.5%	No
PADI2		5	5	0.5%	No
POU6F2		6	5	0.5%	No
PUF60		5	5	0.5%	No
CEP162		5	5	0.5%	No
DLGAP4		5	5	0.5%	No
ADNP2		5	5	0.5%	No
R3HDM2		5	5	0.5%	No
NLGN1		5	5	0.5%	No
ANKRD6		5	5	0.5%	No
BAHD1		6	5	0.5%	No
DIS3		5	5	0.5%	Yes
TRAK1		5	5	0.5%	No
KIFAP3		5	5	0.5%	No
SCAP		5	5	0.5%	No
SNW1		5	5	0.5%	No
KIN		5	5	0.5%	No
SORCS3		6	5	0.5%	No
XPO7		6	5	0.5%	No
ZHX3		5	5	0.5%	No
GGA2		6	5	0.5%	No
IQSEC2		5	5	0.5%	No
TBC1D2B		5	5	0.5%	No
CLASP2		5	5	0.5%	No
FCHO1		6	5	0.5%	No
RTF1		5	5	0.5%	No
LPIN1		5	5	0.5%	No
KANK1		5	5	0.5%	No
FBXL7		5	5	0.5%	No
PMPCA		6	5	0.5%	No
SEL1L3		5	5	0.5%	No
TBC1D12		5	5	0.5%	No
TMEM131L		7	5	0.5%	No
CSTF2T		8	5	0.5%	No
AGTPBP1		7	5	0.5%	No
IQCE		5	5	0.5%	No
SATB2		5	5	0.5%	No
CUX2		5	5	0.5%	No
VPS39		5	5	0.5%	No
ESYT1		5	5	0.5%	No
CRTC1		5	5	0.5%	Yes
SMG5		5	5	0.5%	No
ADNP		5	5	0.5%	No
PIP5K1C		5	5	0.5%	No
CRB1		5	5	0.5%	No
GPR161		5	5	0.5%	No
TARDBP		5	5	0.5%	No
ABCB9		5	5	0.5%	No
OR52A1		5	5	0.5%	No
HYAL4		5	5	0.5%	No
PDSS1		5	5	0.5%	No
OPN3		7	5	0.5%	No
AMACR		5	5	0.5%	No
CA14		5	5	0.5%	No
PRKD3		5	5	0.5%	No
OSBP2		6	5	0.5%	No
IL17RA		5	5	0.5%	No
APOL2		5	5	0.5%	No
EML2		5	5	0.5%	No
PRPF40B		5	5	0.5%	No
SLC24A2		5	5	0.5%	No
ZNF324		7	5	0.5%	No
MGAT4C		5	5	0.5%	No
ZNF473		5	5	0.5%	No
TRIM58		5	5	0.5%	No
OLFML2B		5	5	0.5%	No
POT1		5	5	0.5%	Yes
RTTN		5	5	0.5%	No
GEMIN5		6	5	0.5%	No
SAMHD1		6	5	0.5%	Yes
TMEM87A		5	5	0.5%	No
SH2B1		6	5	0.5%	No
ULK3		5	5	0.5%	No
ZZZ3		5	5	0.5%	No
ZNF451		5	5	0.5%	No
GPSM1		5	5	0.5%	No
ABHD12		5	5	0.5%	No
TANC2		5	5	0.5%	No
TRPC4AP		5	5	0.5%	No
TRAF3IP1		5	5	0.5%	No
ZNF658		5	5	0.5%	No
NOC2L		5	5	0.5%	No
FBXL4		5	5	0.5%	No
OR10J1		5	5	0.5%	No
PELP1		5	5	0.5%	No
SND1		6	5	0.5%	Yes
STAU2		5	5	0.5%	No
VPS41		5	5	0.5%	No
INPP5J		5	5	0.5%	No
DENND2A		5	5	0.5%	No
BBS9		5	5	0.5%	No
KLHL20		5	5	0.5%	No
CSDC2		5	5	0.5%	No
RBMXL2		5	5	0.5%	No
TP53TG5		5	5	0.5%	No
RBMS3		5	5	0.5%	No
PRPF19		5	5	0.5%	No
SLCO4A1		5	5	0.5%	No
NKIRAS2		5	5	0.5%	No
GIT1		5	5	0.5%	No
SLC27A6		5	5	0.5%	No
COMMD5		5	5	0.5%	No
SLC43A3		5	5	0.5%	No
ZC3H7A		5	5	0.5%	No
MRPL15		5	5	0.5%	No
TBK1		5	5	0.5%	No
C6ORF15		5	5	0.5%	No
BRD7		5	5	0.5%	No
UBN1		5	5	0.5%	No
ANAPC2		6	5	0.5%	No
HCFC2		5	5	0.5%	No
RMC1		6	5	0.5%	No
GPR132		5	5	0.5%	No
RPA4		5	5	0.5%	No
PADI1		5	5	0.5%	No
ANAPC4		5	5	0.5%	No
DONSON		5	5	0.5%	No
BICRA		5	5	0.5%	No
FSCN3		6	5	0.5%	No
NOX4		6	5	0.5%	No
GEMIN4		5	5	0.5%	No
ARHGEF3		5	5	0.5%	No
TAS2R16		5	5	0.5%	No
CRYL1		5	5	0.5%	No
RLIM		5	5	0.5%	No
ANKMY1		5	5	0.5%	No
TLR8		5	5	0.5%	No
TAOK3		5	5	0.5%	No
ZNF117		9	5	0.5%	No
ZMYND10		5	5	0.5%	No
WNT16		6	5	0.5%	No
ACTL6B		5	5	0.5%	No
PRKAG2		7	5	0.5%	No
MAGEC2		5	5	0.5%	No
CTDSPL2		5	5	0.5%	No
ZC3HC1		5	5	0.5%	No
VPS54		6	5	0.5%	No
ASB2		5	5	0.5%	No
HECA		5	5	0.5%	No
EMCN		5	5	0.5%	No
ZNF44		5	5	0.5%	No
TM7SF3		5	5	0.5%	No
SHC3		5	5	0.5%	No
ADAM22		5	5	0.5%	No
S1PR5		5	5	0.5%	No
C11ORF24		5	5	0.5%	No
CDHR5		6	5	0.5%	No
CNTN5		5	5	0.5%	No
CYTL1		5	5	0.5%	No
MIOS		5	5	0.5%	No
RNF216		5	5	0.5%	No
CHPF2		5	5	0.5%	No
DGCR8		6	5	0.5%	No
HEATR5B		5	5	0.5%	No
ASNSD1		5	5	0.5%	No
CCHCR1		5	5	0.5%	No
EXOC6		5	5	0.5%	No
NECAB2		5	5	0.5%	No
L1TD1		5	5	0.5%	No
UGT1A3		5	5	0.5%	No
CNGB3		5	5	0.5%	No
PPP1R12C		6	5	0.5%	No
TET2		5	5	0.5%	Yes
CNNM2		6	5	0.5%	No
ESRP1		5	5	0.5%	No
PAQR5		5	5	0.5%	No
EPS8L1		5	5	0.5%	No
QRICH1		5	5	0.5%	No
ZCCHC2		6	5	0.5%	No
TBC1D8B		5	5	0.5%	No
LAX1		5	5	0.5%	No
FAM120C		5	5	0.5%	No
SSH3		6	5	0.5%	No
UCKL1		5	5	0.5%	No
TMEM132A		6	5	0.5%	No
INTS11		5	5	0.5%	No
MARCH1		5	5	0.5%	No
USP47		5	5	0.5%	No
TRMT12		5	5	0.5%	No
SUSD4		5	5	0.5%	No
DET1		5	5	0.5%	No
UACA		6	5	0.5%	No
CCDC186		5	5	0.5%	No
GPATCH1		5	5	0.5%	No
SAMD4B		5	5	0.5%	No
AGGF1		5	5	0.5%	No
ARHGAP17		5	5	0.5%	No
ELP3		5	5	0.5%	No
ZDHHC4		5	5	0.5%	No
TBCCD1		5	5	0.5%	No
SEC61A2		5	5	0.5%	No
CCDC198		5	5	0.5%	No
MAP1S		5	5	0.5%	No
NAT10		5	5	0.5%	No
CCDC87		6	5	0.5%	No
PCMTD2		6	5	0.5%	No
TMEM143		5	5	0.5%	No
PHF10		5	5	0.5%	No
CWF19L1		6	5	0.5%	No
RBM41		6	5	0.5%	No
KLHL26		5	5	0.5%	No
GIMAP5		5	5	0.5%	No
FEM1A		5	5	0.5%	No
ZNF823		5	5	0.5%	No
GALNT10		6	5	0.5%	No
KIF27		6	5	0.5%	No
BMP2K		5	5	0.5%	No
TRMT1		5	5	0.5%	No
LRRC40		5	5	0.5%	No
ZNF416		5	5	0.5%	No
DDX27		5	5	0.5%	No
SCYL2		5	5	0.5%	No
YEATS2		5	5	0.5%	No
PACS1		6	5	0.5%	No
IARS2		5	5	0.5%	No
MAP7D1		5	5	0.5%	No
N4BP2		6	5	0.5%	No
NGLY1		6	5	0.5%	No
EXOC2		6	5	0.5%	No
ST6GALNAC1		5	5	0.5%	No
VPS11		5	5	0.5%	No
SLC22A11		5	5	0.5%	No
UNC45A		5	5	0.5%	No
ERBIN		5	5	0.5%	No
NKRF		5	5	0.5%	No
KLHL7		5	5	0.5%	No
PCDHGC4		5	5	0.5%	No
PCDHGA11		6	5	0.5%	No
PCDHB9		5	5	0.5%	No
GSDMC		5	5	0.5%	No
MEPCE		5	5	0.5%	No
LRRC8A		5	5	0.5%	No
CPXM1		5	5	0.5%	No
TRPV5		6	5	0.5%	No
LTB4R2		5	5	0.5%	No
CTPS2		5	5	0.5%	No
CYP26B1		5	5	0.5%	No
SLC2A9		5	5	0.5%	No
INPP5E		5	5	0.5%	No
TWNK		5	5	0.5%	No
UGGT1		7	5	0.5%	No
MDM1		5	5	0.5%	No
UBQLN4		5	5	0.5%	No
AGPAT4		5	5	0.5%	No
C15ORF39		5	5	0.5%	No
EXOSC5		5	5	0.5%	No
MCCC1		5	5	0.5%	No
SLC12A9		5	5	0.5%	No
CABP4		5	5	0.5%	No
TBX20		5	5	0.5%	No
CASS4		5	5	0.5%	No
RTN4		6	5	0.5%	No
SCYL3		5	5	0.5%	No
VARS2		5	5	0.5%	No
ACTR3B		5	5	0.5%	No
MCOLN1		5	5	0.5%	No
SLC4A10		5	5	0.5%	No
KAT14		5	5	0.5%	No
CBX8		5	5	0.5%	No
LRRC47		5	5	0.5%	No
KIAA1210		5	5	0.5%	No
ESYT2		6	5	0.5%	No
AHRR		6	5	0.5%	No
LRFN2		5	5	0.5%	No
ZNF608		5	5	0.5%	No
INTS2		5	5	0.5%	No
XPO5		5	5	0.5%	No
HACE1		5	5	0.5%	No
MARCH4		6	5	0.5%	No
MRTFA		5	5	0.5%	Yes
HOMEZ		6	5	0.5%	No
BEGAIN		5	5	0.5%	No
WDR48		5	5	0.5%	No
LRFN1		5	5	0.5%	No
HCN3		5	5	0.5%	No
ZNF317		5	5	0.5%	No
SHTN1		5	5	0.5%	No
GBA2		5	5	0.5%	No
SLC7A14		5	5	0.5%	No
PCDHB16		6	5	0.5%	No
PPP4R4		5	5	0.5%	No
ANO8		5	5	0.5%	No
GPR107		5	5	0.5%	No
WDR19		6	5	0.5%	No
ZP4		6	5	0.5%	No
CADM3		5	5	0.5%	No
KLHL12		6	5	0.5%	No
PKNOX2		5	5	0.5%	No
RNF123		5	5	0.5%	No
UBE2O		6	5	0.5%	No
PRDM15		5	5	0.5%	No
MCCC2		5	5	0.5%	No
PARVG		5	5	0.5%	No
DUS1L		5	5	0.5%	No
ADGRL4		5	5	0.5%	No
XYLT2		5	5	0.5%	No
ERAP2		5	5	0.5%	No
DPEP2		5	5	0.5%	No
SEMA4A		5	5	0.5%	No
PJA1		7	5	0.5%	No
ABCG5		5	5	0.5%	No
ABCG8		5	5	0.5%	No
CHST8		5	5	0.5%	No
CDH24		5	5	0.5%	No
GALNT17		6	5	0.5%	No
ALDH8A1		6	5	0.5%	No
CREB3L2		5	5	0.5%	Yes
TBC1D15		5	5	0.5%	No
EPS8L2		5	5	0.5%	No
IQCH		6	5	0.5%	No
YTHDC2		5	5	0.5%	No
NIBAN2		6	5	0.5%	No
RASAL3		5	5	0.5%	No
RAPH1		6	5	0.5%	No
PRAMEF1		5	5	0.5%	No
ZSWIM4		7	5	0.5%	No
WNK3		5	5	0.5%	No
DDX54		5	5	0.5%	No
FASTKD3		6	5	0.5%	No
RNF26		6	5	0.5%	No
GNPTAB		6	5	0.5%	No
THTPA		5	5	0.5%	No
CARS2		5	5	0.5%	No
MAP7D3		5	5	0.5%	No
BEND5		5	5	0.5%	No
ICE2		5	5	0.5%	No
TUT7		5	5	0.5%	No
VEPH1		5	5	0.5%	No
SMC6		5	5	0.5%	No
STEAP4		5	5	0.5%	No
GALNT12		5	5	0.5%	No
NOL9		5	5	0.5%	No
WDR59		5	5	0.5%	No
NSUN7		5	5	0.5%	No
NARS2		5	5	0.5%	No
ZNF419		5	5	0.5%	No
MCTP1		5	5	0.5%	No
GRTP1		5	5	0.5%	No
MICALL2		5	5	0.5%	No
KLHL36		5	5	0.5%	No
UGT2A3		5	5	0.5%	No
TMC5		5	5	0.5%	No
FAM124B		5	5	0.5%	No
ZNF669		5	5	0.5%	No
ALG13		5	5	0.5%	No
RABEP2		5	5	0.5%	No
SPEF2		5	5	0.5%	No
GRHL2		5	5	0.5%	No
DSN1		5	5	0.5%	No
PHC3		5	5	0.5%	No
DGLUCY		5	5	0.5%	No
FOXRED2		7	5	0.5%	No
TMEM62		5	5	0.5%	No
ZNF614		5	5	0.5%	No
RPF1		5	5	0.5%	No
MYCT1		5	5	0.5%	No
ACSF2		5	5	0.5%	No
RUFY1		5	5	0.5%	No
TMEM177		5	5	0.5%	No
INTS5		6	5	0.5%	No
CMIP		6	5	0.5%	No
APOL4		5	5	0.5%	No
KDM7A		5	5	0.5%	No
TUBB1		5	5	0.5%	No
KCNH6		5	5	0.5%	No
OR4K15		5	5	0.5%	No
OR6K2		5	5	0.5%	No
ITFG1		6	5	0.5%	No
ANKRD13C		5	5	0.5%	No
CCDC130		5	5	0.5%	No
NIPA2		5	5	0.5%	No
CCNL2		6	5	0.5%	No
SLCO5A1		5	5	0.5%	No
KIF18A		5	5	0.5%	No
PMFBP1		5	5	0.5%	No
RASSF5		5	5	0.5%	No
ZMIZ2		5	5	0.5%	No
GRWD1		5	5	0.5%	No
TAS1R3		5	5	0.5%	No
USP26		5	5	0.5%	No
USHBP1		5	5	0.5%	No
TATDN1		6	5	0.5%	No
FAM160A2		5	5	0.5%	No
ZRANB3		5	5	0.5%	No
QRFPR		5	5	0.5%	No
SYDE2		5	5	0.5%	No
C19ORF44		5	5	0.5%	No
MEX3B		5	5	0.5%	No
DRC7		6	5	0.5%	No
DDI2		5	5	0.5%	No
ZNF528		5	5	0.5%	No
BRSK1		6	5	0.5%	Yes
SRRM4		5	5	0.5%	No
ACSS1		5	5	0.5%	No
COL25A1		5	5	0.5%	No
ST6GAL2		5	5	0.5%	No
ZNF594		5	5	0.5%	No
PYROXD2		5	5	0.5%	No
MFSD9		5	5	0.5%	No
ZNF496		6	5	0.5%	No
KLHL22		5	5	0.5%	No
PARP10		5	5	0.5%	No
AIFM2		5	5	0.5%	No
FBH1		5	5	0.5%	No
CORO6		5	5	0.5%	No
NUDCD1		5	5	0.5%	No
UBASH3B		5	5	0.5%	No
IGSF21		5	5	0.5%	No
TRIM5		5	5	0.5%	No
MYLK2		6	5	0.5%	No
SLC45A3		5	5	0.5%	Yes
STON2		6	5	0.5%	No
DCLK3		5	5	0.5%	No
KIAA1755		5	5	0.5%	No
DISP2		5	5	0.5%	No
FHDC1		6	5	0.5%	No
PSKH2		5	5	0.5%	No
GTPBP10		5	5	0.5%	No
FGD3		5	5	0.5%	No
LHX4		5	5	0.5%	No
CCDC120		5	5	0.5%	No
ZNF468		6	5	0.5%	No
DCAF15		5	5	0.5%	No
ZNF799		6	5	0.5%	No
ZNF700		5	5	0.5%	No
DHX57		5	5	0.5%	No
ZNF251		5	5	0.5%	No
SCARF2		5	5	0.5%	No
DDX60L		5	5	0.5%	No
ZNF765		5	5	0.5%	No
WDR20		5	5	0.5%	No
GGTLC1		5	5	0.5%	No
TTC30A		5	5	0.5%	No
ZNF585B		5	5	0.5%	No
PXYLP1		5	5	0.5%	No
OTOP2		5	5	0.5%	No
KCNG4		6	5	0.5%	No
IGSF8		6	5	0.5%	No
ZNF670		5	5	0.5%	No
TADA2B		5	5	0.5%	No
TBCK		5	5	0.5%	No
CADPS2		5	5	0.5%	No
FOXP2		5	5	0.5%	No
SNX18		5	5	0.5%	No
CFAP36		5	5	0.5%	No
LARP4		6	5	0.5%	No
SLC2A13		5	5	0.5%	No
CARD16		5	5	0.5%	No
STK11IP		5	5	0.5%	No
TUBGCP5		5	5	0.5%	No
OSBPL11		5	5	0.5%	No
ZNF618		5	5	0.5%	No
SLC26A9		5	5	0.5%	No
EVI5L		5	5	0.5%	No
DIS3L		5	5	0.5%	No
IQCD		5	5	0.5%	No
CNTROB		6	5	0.5%	No
ACAP3		6	5	0.5%	No
ARAP2		6	5	0.5%	No
MRGPRX4		5	5	0.5%	No
TMC2		5	5	0.5%	No
CFAP70		5	5	0.5%	No
ZFYVE27		5	5	0.5%	No
OR5P3		5	5	0.5%	No
TDRD9		5	5	0.5%	No
PLD4		5	5	0.5%	No
PSMB11		5	5	0.5%	No
PLA2G4E		7	5	0.5%	No
PAQR4		5	5	0.5%	No
SNX20		5	5	0.5%	No
MSI2		5	5	0.5%	Yes
KIF19		5	5	0.5%	No
NLRP13		6	5	0.5%	No
ZNF573		5	5	0.5%	No
ANKLE1		5	5	0.5%	No
DMBX1		5	5	0.5%	No
OR10J5		5	5	0.5%	No
C1ORF87		5	5	0.5%	No
SPATA17		5	5	0.5%	No
ARHGEF19		6	5	0.5%	No
MBOAT2		5	5	0.5%	No
ZNF513		5	5	0.5%	No
TRIM71		6	5	0.5%	No
GLYCTK		5	5	0.5%	No
AASDH		5	5	0.5%	No
IL31RA		6	5	0.5%	No
SLITRK4		5	5	0.5%	No
ACTRT1		5	5	0.5%	No
GPR119		5	5	0.5%	No
ISM1		6	5	0.5%	No
ASB15		5	5	0.5%	No
FRMPD2		5	5	0.5%	No
CWF19L2		5	5	0.5%	No
CPNE8		6	5	0.5%	No
LRFN5		5	5	0.5%	No
KCTD19		5	5	0.5%	No
PRR35		5	5	0.5%	No
TMED6		5	5	0.5%	No
EME1		5	5	0.5%	No
APCDD1		5	5	0.5%	No
LYPD4		5	5	0.5%	No
ZNF583		5	5	0.5%	No
ZNF98		5	5	0.5%	No
ZNF555		5	5	0.5%	No
MFSD4A		5	5	0.5%	No
LCA5L		5	5	0.5%	No
TEKT4		5	5	0.5%	No
ASPRV1		5	5	0.5%	No
GPR155		5	5	0.5%	No
NEK10		5	5	0.5%	No
KLB		5	5	0.5%	No
RNF145		6	5	0.5%	No
TMEM74		5	5	0.5%	No
MAMDC4		5	5	0.5%	No
RASEF		6	5	0.5%	No
TTC39B		5	5	0.5%	No
SAXO1		5	5	0.5%	No
SHOC1		5	5	0.5%	No
ARHGAP36		5	5	0.5%	No
CFAP58		5	5	0.5%	No
SLC5A12		5	5	0.5%	No
FSIP1		5	5	0.5%	No
ADAD2		5	5	0.5%	No
MARCH10		5	5	0.5%	No
RHBDL3		5	5	0.5%	No
ZNF836		5	5	0.5%	No
ZNF320		5	5	0.5%	No
ZNF567		5	5	0.5%	No
PLPPR5		5	5	0.5%	No
FNDC7		5	5	0.5%	No
CNST		5	5	0.5%	No
CCDC116		5	5	0.5%	No
FAM171B		5	5	0.5%	No
CLEC4F		5	5	0.5%	No
TRIM60		6	5	0.5%	No
TXLNB		5	5	0.5%	No
GALNTL5		5	5	0.5%	No
CNBD1		5	5	0.5%	No
SNX31		5	5	0.5%	No
ZNF169		5	5	0.5%	No
CLEC4C		5	5	0.5%	No
DHX36		5	5	0.5%	No
ADAMTS17		7	5	0.5%	No
SYNPO2		5	5	0.5%	No
KRT24		5	5	0.5%	No
KRT78		5	5	0.5%	No
PLBD2		5	5	0.5%	No
ANO6		5	5	0.5%	No
FCSK		5	5	0.5%	No
MLKL		5	5	0.5%	No
ZNF778		6	5	0.5%	No
NIBAN3		5	5	0.5%	No
CYP4Z1		5	5	0.5%	No
CDCP2		5	5	0.5%	No
TXLNA		5	5	0.5%	No
FLCN		5	5	0.5%	Yes
SPEM2		6	5	0.5%	No
LRRC45		5	5	0.5%	No
ZBTB7C		5	5	0.5%	No
TRIM39-RPP21		5	5	0.5%	No
ADCK5		6	5	0.5%	No
RTL3		6	5	0.5%	No
TRIML2		5	5	0.5%	No
LVRN		5	5	0.5%	No
ARMC3		5	5	0.5%	No
PATL1		5	5	0.5%	No
TIGD3		5	5	0.5%	No
ZNF438		5	5	0.5%	No
SPATA13		5	5	0.5%	No
OPN5		5	5	0.5%	No
