Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
CLEC17A		4	4	0.9%	No
SLC9A4		4	4	0.9%	No
VGLL3		4	4	0.9%	No
AJM1		4	4	0.9%	No
OR52N4		4	4	0.9%	No
OR5D16		4	4	0.9%	No
OR5B12		4	4	0.9%	No
ANKRD34C		4	4	0.9%	No
PINLYP		4	4	0.9%	No
ELFN1		4	4	0.9%	No
HEATR4		4	4	0.9%	No
SH2D5		4	4	0.9%	No
SAMD12		4	4	0.9%	No
KPNA7		4	4	0.9%	No
ZNF716		4	4	0.9%	No
OR2J1		4	4	0.9%	No
OR14J1		4	4	0.9%	No
PJVK		4	4	0.9%	No
GRXCR2		4	4	0.9%	No
ZNF862		4	4	0.9%	No
WIPF3		4	4	0.9%	No
ZAR1L		4	4	0.9%	No
FAM155A		4	4	0.9%	No
SP9		4	4	0.9%	No
ZNF729		4	4	0.9%	No
MROH7-TTC4		4	4	0.9%	No
SERPINA3		3	3	0.7%	No
ABR		3	3	0.7%	No
ACADSB		3	3	0.7%	No
ACPP		3	3	0.7%	No
ACTB		5	3	0.7%	Yes
ACTG2		3	3	0.7%	No
ACTN4		3	3	0.7%	No
ADAR		3	3	0.7%	No
ADCYAP1		3	3	0.7%	No
ADD3		3	3	0.7%	No
ADRA2A		3	3	0.7%	No
GRK2		3	3	0.7%	No
AP2A2		3	3	0.7%	No
APLNR		3	3	0.7%	Yes
ABCD1		3	3	0.7%	No
ALDH2		3	3	0.7%	No
AMPD3		3	3	0.7%	No
AMT		3	3	0.7%	No
ANXA5		3	3	0.7%	No
ANXA7		3	3	0.7%	No
APAF1		3	3	0.7%	No
APBA1		3	3	0.7%	No
SHROOM2		3	3	0.7%	No
AQP2		3	3	0.7%	No
AQP6		3	3	0.7%	No
ARHGAP4		3	3	0.7%	No
ARHGAP6		3	3	0.7%	No
STS		3	3	0.7%	No
ASPA		3	3	0.7%	No
SERPINC1		3	3	0.7%	No
ATOH1		3	3	0.7%	No
ATP2A1		3	3	0.7%	No
ATP2B2		3	3	0.7%	No
ATP6V1B1		3	3	0.7%	No
ATP6V0A1		3	3	0.7%	No
ATP7A		3	3	0.7%	No
AVPR1B		3	3	0.7%	No
AZGP1		3	3	0.7%	No
BAAT		3	3	0.7%	No
BAX		3	3	0.7%	Yes
BCKDHA		3	3	0.7%	No
BFSP1		3	3	0.7%	No
BID		3	3	0.7%	No
PRDM1		3	3	0.7%	Yes
BLK		3	3	0.7%	No
BNC1		4	3	0.7%	No
KLF9		3	3	0.7%	No
BUB1		3	3	0.7%	No
C8A		3	3	0.7%	No
C9		3	3	0.7%	No
CA9		3	3	0.7%	No
CACNB2		3	3	0.7%	No
SLC25A20		3	3	0.7%	No
CALCR		3	3	0.7%	No
CAMK4		3	3	0.7%	No
CAPN6		3	3	0.7%	No
CAPZB		3	3	0.7%	No
CASP5		3	3	0.7%	No
CAT		4	3	0.7%	No
SERPINA6		3	3	0.7%	No
CCNF		3	3	0.7%	No
CCNG2		4	3	0.7%	No
CD2		3	3	0.7%	No
CD19		3	3	0.7%	No
CD22		3	3	0.7%	Yes
SCARB2		3	3	0.7%	No
CD44		3	3	0.7%	No
CDC25B		3	3	0.7%	No
CDC27		3	3	0.7%	No
CDH2		3	3	0.7%	No
CDH10		3	3	0.7%	No
CDH16		3	3	0.7%	No
CDK7		3	3	0.7%	No
CDK8		3	3	0.7%	Yes
CDR2		3	3	0.7%	No
CES1		3	3	0.7%	No
CETP		3	3	0.7%	No
CHAT		3	3	0.7%	No
FOXN3		3	3	0.7%	No
CHIT1		3	3	0.7%	No
CHKA		3	3	0.7%	No
CHML		3	3	0.7%	No
CHRNA1		3	3	0.7%	No
CHRNB1		3	3	0.7%	No
CHRNB3		3	3	0.7%	No
CHRNB4		3	3	0.7%	No
CHRNE		3	3	0.7%	No
AP1S1		3	3	0.7%	No
CLCNKA		3	3	0.7%	No
CCR6		3	3	0.7%	No
CCR8		3	3	0.7%	No
CNN3		4	3	0.7%	No
CNTN1		3	3	0.7%	No
COL2A1		3	3	0.7%	Yes
MAP3K8		3	3	0.7%	No
CP		3	3	0.7%	No
CR1		3	3	0.7%	No
CRAT		3	3	0.7%	No
ATF2		3	3	0.7%	No
CRK		3	3	0.7%	No
HAPLN1		3	3	0.7%	No
CRY2		3	3	0.7%	No
CRYGA		4	3	0.7%	No
CRYM		3	3	0.7%	No
CST1		3	3	0.7%	No
CSTF1		3	3	0.7%	No
CSTF3		4	3	0.7%	No
NKX2-5		3	3	0.7%	No
CTNNA1		3	3	0.7%	Yes
CTNS		3	3	0.7%	No
CTSD		3	3	0.7%	No
CTSE		4	3	0.7%	No
CYBB		3	3	0.7%	No
CYP2C9		3	3	0.7%	No
CYP2F1		3	3	0.7%	No
DAB2		3	3	0.7%	No
DACH1		3	3	0.7%	No
ACE		4	3	0.7%	No
DCX		3	3	0.7%	No
DLX6		3	3	0.7%	No
DMPK		3	3	0.7%	No
DMWD		3	3	0.7%	No
DNA2		3	3	0.7%	No
DNMT1		4	3	0.7%	Yes
TRDMT1		3	3	0.7%	No
ARID3A		3	3	0.7%	Yes
DSC1		3	3	0.7%	No
DSC2		3	3	0.7%	No
DSG1		3	3	0.7%	No
DTX1		3	3	0.7%	Yes
DVL2		4	3	0.7%	No
DVL3		3	3	0.7%	No
E2F1		3	3	0.7%	No
E2F5		3	3	0.7%	No
EDN2		3	3	0.7%	No
EDNRB		3	3	0.7%	No
MEGF6		3	3	0.7%	No
EGR4		3	3	0.7%	No
EIF1AX		3	3	0.7%	Yes
EPHA2		3	3	0.7%	No
EML1		3	3	0.7%	No
ADGRE1		3	3	0.7%	No
CTTN		4	3	0.7%	No
EPAS1		3	3	0.7%	Yes
EPB41L1		3	3	0.7%	No
EPB42		3	3	0.7%	No
EPHB2		3	3	0.7%	No
EPHB6		3	3	0.7%	No
ERCC3		3	3	0.7%	Yes
ERCC6		3	3	0.7%	No
ERN1		3	3	0.7%	No
ETFDH		3	3	0.7%	No
ETS1		3	3	0.7%	Yes
EVC		3	3	0.7%	No
EWSR1		3	3	0.7%	Yes
F7		3	3	0.7%	No
FABP6		3	3	0.7%	No
FANCD2		3	3	0.7%	Yes
ACSL3		3	3	0.7%	Yes
FEN1		3	3	0.7%	No
FES		3	3	0.7%	Yes
FGF11		3	3	0.7%	No
GPC5		3	3	0.7%	No
FGFR4		3	3	0.7%	Yes
FGG		3	3	0.7%	No
FGR		3	3	0.7%	No
FOXG1		3	3	0.7%	No
FOXJ1		3	3	0.7%	No
FOXE1		3	3	0.7%	No
FOXO1		3	3	0.7%	Yes
FLT3		3	3	0.7%	Yes
FMO1		3	3	0.7%	No
FNTB		3	3	0.7%	No
FOLR3		3	3	0.7%	No
FPGS		3	3	0.7%	No
FPR3		3	3	0.7%	No
NR5A2		3	3	0.7%	No
FUT2		3	3	0.7%	No
FUT3		3	3	0.7%	No
G6PC		4	3	0.7%	No
GABRA2		3	3	0.7%	No
GABRA3		3	3	0.7%	No
GABRA4		3	3	0.7%	No
GABRA6		3	3	0.7%	Yes
GABRE		3	3	0.7%	No
GABRG2		3	3	0.7%	No
GABRG3		3	3	0.7%	No
GAD1		3	3	0.7%	No
GALC		3	3	0.7%	No
GAMT		3	3	0.7%	No
GATA2		3	3	0.7%	Yes
GBP1		3	3	0.7%	No
GBP3		3	3	0.7%	No
GCH1		3	3	0.7%	No
NR6A1		3	3	0.7%	No
GEM		3	3	0.7%	No
GHRHR		3	3	0.7%	No
CBLIF		3	3	0.7%	No
GLI4		3	3	0.7%	No
GLUD1		3	3	0.7%	No
GNAQ		3	3	0.7%	Yes
GNB1		3	3	0.7%	Yes
GNL1		4	3	0.7%	No
GOLGA1		3	3	0.7%	No
GOLGA4		3	3	0.7%	No
GP1BA		3	3	0.7%	No
GP2		3	3	0.7%	No
GPR6		3	3	0.7%	No
UTS2R		3	3	0.7%	No
GPR37		3	3	0.7%	No
GPR39		3	3	0.7%	No
GPX1		3	3	0.7%	No
GRB7		3	3	0.7%	No
GRIA4		3	3	0.7%	No
GRSF1		3	3	0.7%	No
GSN		3	3	0.7%	No
GSTA4		3	3	0.7%	No
GSTM2		3	3	0.7%	No
GSTM5		3	3	0.7%	No
GTF2F1		3	3	0.7%	No
GUCY1A1		4	3	0.7%	No
GUCY2C		3	3	0.7%	No
HIST1H1A		3	3	0.7%	No
HARS		3	3	0.7%	No
HBQ1		3	3	0.7%	No
HCFC1		3	3	0.7%	No
HCK		3	3	0.7%	No
HDC		3	3	0.7%	No
NCKAP1L		3	3	0.7%	No
HGD		3	3	0.7%	No
HGFAC		3	3	0.7%	No
NRG1		3	3	0.7%	Yes
HK1		3	3	0.7%	No
HLA-G		3	3	0.7%	No
MR1		3	3	0.7%	No
HMBS		3	3	0.7%	No
FOXA3		3	3	0.7%	No
HNRNPA2B1		3	3	0.7%	Yes
HNRNPU		3	3	0.7%	No
HOXA2		3	3	0.7%	No
HOXA4		3	3	0.7%	No
HOXB5		3	3	0.7%	No
HOXD9		3	3	0.7%	No
HOXD11		3	3	0.7%	Yes
HPR		3	3	0.7%	No
HRAS		3	3	0.7%	Yes
HSD17B2		3	3	0.7%	No
HSD17B4		3	3	0.7%	No
HSF4		3	3	0.7%	No
HSPA2		3	3	0.7%	No
HSP90AA1		3	3	0.7%	Yes
HTR1E		3	3	0.7%	No
HYAL1		3	3	0.7%	No
IARS		3	3	0.7%	No
IBSP		3	3	0.7%	No
IFI16		3	3	0.7%	No
IHH		3	3	0.7%	No
IL4R		3	3	0.7%	No
IL6ST		4	3	0.7%	Yes
IL7R		3	3	0.7%	Yes
IL10RA		3	3	0.7%	No
FOXK2		3	3	0.7%	No
INHBB		3	3	0.7%	No
INPP4A		3	3	0.7%	Yes
INPP5B		3	3	0.7%	No
INPP5D		3	3	0.7%	Yes
ISLR		3	3	0.7%	No
ITGA7		3	3	0.7%	No
ITGA9		3	3	0.7%	No
ITGB2		3	3	0.7%	No
ITGB6		3	3	0.7%	No
ITIH2		3	3	0.7%	No
ITIH4		3	3	0.7%	No
ITK		3	3	0.7%	Yes
STT3A		3	3	0.7%	No
JUNB		3	3	0.7%	No
KCNF1		3	3	0.7%	No
KCNG1		3	3	0.7%	No
KCNJ3		3	3	0.7%	No
KCNJ5		3	3	0.7%	Yes
KCNJ15		3	3	0.7%	No
KCNK2		3	3	0.7%	No
KCNN4		3	3	0.7%	No
KCNS3		3	3	0.7%	No
KIF5C		3	3	0.7%	No
KIR2DL1		3	3	0.7%	No
KLKB1		3	3	0.7%	No
IPO5		3	3	0.7%	No
KRT1		3	3	0.7%	No
KRT5		3	3	0.7%	No
KRT6A		3	3	0.7%	No
KRT12		3	3	0.7%	No
KRT35		4	3	0.7%	No
AFF3		4	3	0.7%	Yes
LBP		3	3	0.7%	No
LBR		3	3	0.7%	No
LCP1		4	3	0.7%	Yes
LEPR		3	3	0.7%	No
LGALS3BP		3	3	0.7%	No
LIF		3	3	0.7%	No
LIFR		4	3	0.7%	Yes
LIMK1		3	3	0.7%	No
LMO7		3	3	0.7%	No
LNPEP		3	3	0.7%	No
LOXL1		3	3	0.7%	No
LTF		3	3	0.7%	No
LTK		4	3	0.7%	Yes
BCAM		3	3	0.7%	No
CD180		4	3	0.7%	No
NBR1		3	3	0.7%	No
SMAD7		3	3	0.7%	No
MAGEA4		3	3	0.7%	No
MAGEA10		3	3	0.7%	No
MAGEA11		3	3	0.7%	No
MAGEB3		4	3	0.7%	No
MAK		3	3	0.7%	No
MAN2C1		3	3	0.7%	No
MAN2B1		4	3	0.7%	No
MAP6		3	3	0.7%	No
MARK3		3	3	0.7%	No
MAS1		3	3	0.7%	No
MBL2		3	3	0.7%	No
MC2R		3	3	0.7%	No
MC3R		3	3	0.7%	No
MC4R		3	3	0.7%	No
MCL1		3	3	0.7%	Yes
MCM3		3	3	0.7%	No
MCM4		3	3	0.7%	No
MCM6		3	3	0.7%	No
ADAM11		3	3	0.7%	No
MDM2		4	3	0.7%	Yes
ME2		3	3	0.7%	No
MEFV		3	3	0.7%	No
MAP3K1		3	3	0.7%	Yes
MAP3K5		3	3	0.7%	No
MEN1		3	3	0.7%	Yes
MEP1B		3	3	0.7%	No
MIP		3	3	0.7%	No
MITF		3	3	0.7%	Yes
MLH1		3	3	0.7%	Yes
MAP3K10		3	3	0.7%	No
MLLT1		3	3	0.7%	Yes
MLLT6		3	3	0.7%	Yes
MME		3	3	0.7%	No
MMP8		3	3	0.7%	No
MMP13		3	3	0.7%	No
MMP14		3	3	0.7%	No
MMP15		3	3	0.7%	No
MPO		4	3	0.7%	No
MPP2		3	3	0.7%	No
MSH5		3	3	0.7%	No
MTIF2		3	3	0.7%	No
MYO1F		3	3	0.7%	No
MTRR		3	3	0.7%	No
MYL1		3	3	0.7%	No
MYO1D		3	3	0.7%	No
MYO6		3	3	0.7%	No
NAB2		3	3	0.7%	Yes
NBN		3	3	0.7%	Yes
NDUFS2		3	3	0.7%	No
NDUFS3		3	3	0.7%	No
NDUFV1		4	3	0.7%	No
NEDD4		3	3	0.7%	No
NEFM		3	3	0.7%	No
NFATC4		3	3	0.7%	No
NFIC		3	3	0.7%	No
NFKB2		3	3	0.7%	Yes
NFKBIA		3	3	0.7%	Yes
NFKBIB		3	3	0.7%	No
NFKBIE		3	3	0.7%	Yes
NFRKB		3	3	0.7%	No
NGF		3	3	0.7%	No
CCN3		3	3	0.7%	No
NOVA2		3	3	0.7%	No
NPHP1		3	3	0.7%	No
NTRK1		4	3	0.7%	Yes
ROR1		3	3	0.7%	No
NUP88		4	3	0.7%	No
NUP98		3	3	0.7%	Yes
NVL		3	3	0.7%	No
OCA2		3	3	0.7%	No
ODF2		3	3	0.7%	No
OPA1		3	3	0.7%	No
OPCML		3	3	0.7%	No
TNFRSF11B		3	3	0.7%	No
OR2C1		3	3	0.7%	No
OR3A1		3	3	0.7%	No
P4HB		3	3	0.7%	No
FURIN		3	3	0.7%	Yes
PAK1		3	3	0.7%	Yes
PAK3		3	3	0.7%	Yes
PAM		3	3	0.7%	No
PRKN		3	3	0.7%	Yes
PBX2		3	3	0.7%	No
PCDH1		3	3	0.7%	No
PCK2		3	3	0.7%	No
CDK17		3	3	0.7%	No
PDE1C		3	3	0.7%	No
PDE4D		3	3	0.7%	No
PDE6H		3	3	0.7%	No
PDGFRA		3	3	0.7%	Yes
PDGFRB		3	3	0.7%	Yes
PEPD		3	3	0.7%	No
PEX7		3	3	0.7%	No
ATP8B1		3	3	0.7%	No
PFKL		3	3	0.7%	No
PGGT1B		3	3	0.7%	No
ABCB1		3	3	0.7%	No
SLC25A3		3	3	0.7%	No
PHKB		3	3	0.7%	No
PHKG1		3	3	0.7%	No
SERPINB6		3	3	0.7%	No
SERPINI2		3	3	0.7%	No
PIP4K2A		3	3	0.7%	No
PLA2G5		3	3	0.7%	No
PLAT		3	3	0.7%	No
PLTP		3	3	0.7%	No
POU2F2		3	3	0.7%	No
PPP1CA		3	3	0.7%	No
PPP2CA		3	3	0.7%	No
PPP2R2A		3	3	0.7%	Yes
PPP2R2B		3	3	0.7%	No
PPP2R3A		3	3	0.7%	No
PPP2R5B		3	3	0.7%	No
PPP2R5C		3	3	0.7%	No
PPP3R1		3	3	0.7%	No
PRELP		3	3	0.7%	No
PRKAB1		3	3	0.7%	No
PRKACG		3	3	0.7%	No
PRKAR1B		3	3	0.7%	No
PRKD1		5	3	0.7%	Yes
PRKG1		3	3	0.7%	No
PRKG2		3	3	0.7%	No
MAP2K1		3	3	0.7%	Yes
PRLR		3	3	0.7%	No
PROS1		3	3	0.7%	No
MASP1		3	3	0.7%	No
KLK10		3	3	0.7%	No
PSG6		3	3	0.7%	No
PSMC4		3	3	0.7%	No
PSMD5		3	3	0.7%	No
PTK6		3	3	0.7%	Yes
PTPN12		3	3	0.7%	No
PTPRK		4	3	0.7%	Yes
PTPRR		3	3	0.7%	No
PURA		3	3	0.7%	No
NECTIN2		3	3	0.7%	No
QARS		3	3	0.7%	No
RGL2		3	3	0.7%	No
MAP4K2		3	3	0.7%	No
RAD17		3	3	0.7%	No
RAD51D		3	3	0.7%	Yes
RAF1		3	3	0.7%	Yes
RAG1		3	3	0.7%	No
RANGAP1		3	3	0.7%	No
RARA		3	3	0.7%	Yes
RECQL		3	3	0.7%	Yes
REST		3	3	0.7%	Yes
RFX5		3	3	0.7%	No
RGS4		3	3	0.7%	No
RHO		3	3	0.7%	No
GRK1		3	3	0.7%	No
RLF		3	3	0.7%	No
RNASEL		3	3	0.7%	No
BRD2		3	3	0.7%	No
RNH1		3	3	0.7%	No
ROCK1		3	3	0.7%	No
RPS6KA1		3	3	0.7%	No
RREB1		3	3	0.7%	No
RSC1A1		3	3	0.7%	No
RXRA		3	3	0.7%	Yes
SALL2		3	3	0.7%	No
ATXN7		3	3	0.7%	Yes
SCN7A		3	3	0.7%	No
SCNN1B		3	3	0.7%	No
SCNN1D		4	3	0.7%	No
SELP		3	3	0.7%	No
SELPLG		3	3	0.7%	No
SRSF3		3	3	0.7%	Yes
SRSF6		3	3	0.7%	No
TRA2B		3	3	0.7%	No
SHMT2		3	3	0.7%	No
PMEL		3	3	0.7%	No
SLC1A3		3	3	0.7%	No
SLC1A7		3	3	0.7%	No
SLC2A4		3	3	0.7%	No
SLC3A2		3	3	0.7%	No
SLC4A1		3	3	0.7%	No
SLC6A1		3	3	0.7%	No
SLC6A2		4	3	0.7%	No
SLC6A11		3	3	0.7%	No
SLC7A4		3	3	0.7%	No
SLC9A3		3	3	0.7%	No
SLC17A1		3	3	0.7%	No
SLC18A3		3	3	0.7%	No
SLC20A2		3	3	0.7%	No
SLC22A3		3	3	0.7%	No
SMARCA4		4	3	0.7%	Yes
SMARCB1		3	3	0.7%	Yes
CAPN15		3	3	0.7%	No
SOS2		3	3	0.7%	No
SP100		3	3	0.7%	No
SREBF1		3	3	0.7%	No
SRPRA		3	3	0.7%	No
SSTR2		3	3	0.7%	No
ST14		3	3	0.7%	No
STAT2		3	3	0.7%	No
STAT4		3	3	0.7%	Yes
STAT5A		3	3	0.7%	Yes
AURKA		3	3	0.7%	Yes
SULT2A1		3	3	0.7%	No
SUPT6H		5	3	0.7%	No
SYT4		3	3	0.7%	No
ADAM17		3	3	0.7%	No
TAF1		3	3	0.7%	Yes
TAF5		3	3	0.7%	No
TBX2		3	3	0.7%	No
TBX15		3	3	0.7%	No
TCF4		3	3	0.7%	No
TCF3		3	3	0.7%	Yes
TCF7		3	3	0.7%	No
TEK		3	3	0.7%	Yes
TERF2		3	3	0.7%	No
TFAP2C		3	3	0.7%	No
TFDP1		3	3	0.7%	No
TGFB1I1		3	3	0.7%	No
TGFBR1		3	3	0.7%	Yes
TGFBR3		3	3	0.7%	No
TGM2		3	3	0.7%	No
TGM3		3	3	0.7%	No
TIE1		3	3	0.7%	No
ICAM5		3	3	0.7%	No
TLE2		3	3	0.7%	No
TLL1		3	3	0.7%	No
SEC62		3	3	0.7%	No
TLR2		3	3	0.7%	No
TLR5		3	3	0.7%	No
TMF1		3	3	0.7%	No
TNFAIP1		3	3	0.7%	No
TNFAIP2		3	3	0.7%	No
TOP3A		3	3	0.7%	No
TRPC5		3	3	0.7%	No
TSC1		3	3	0.7%	Yes
TTC3		4	3	0.7%	No
HIRA		3	3	0.7%	Yes
TYR		3	3	0.7%	No
TYRO3		3	3	0.7%	Yes
UGT2B4		3	3	0.7%	No
VAV1		3	3	0.7%	Yes
VAV2		3	3	0.7%	Yes
VEGFB		3	3	0.7%	No
VEGFC		3	3	0.7%	No
VIPR2		3	3	0.7%	No
WIPF1		3	3	0.7%	No
WFS1		3	3	0.7%	No
WNT2B		3	3	0.7%	No
WT1		3	3	0.7%	Yes
ZAP70		3	3	0.7%	No
ZIC3		3	3	0.7%	No
ZNF7		4	3	0.7%	No
ZNF708		5	3	0.7%	No
ZNF16		3	3	0.7%	No
ZNF148		3	3	0.7%	No
ZBTB17		3	3	0.7%	No
RNF112		3	3	0.7%	No
ZNF217		3	3	0.7%	Yes
ZNF229		3	3	0.7%	No
SLC30A3		3	3	0.7%	No
LUZP1		3	3	0.7%	No
PXDN		3	3	0.7%	No
FZD3		3	3	0.7%	No
TFPI2		3	3	0.7%	No
GLRA3		3	3	0.7%	No
MLLT10		3	3	0.7%	Yes
CCDC6		3	3	0.7%	Yes
MLF2		3	3	0.7%	No
AAAS		3	3	0.7%	No
AKAP1		3	3	0.7%	No
CHAF1B		3	3	0.7%	No
ZRSR2		3	3	0.7%	Yes
KDM5C		3	3	0.7%	Yes
SMC1A		4	3	0.7%	Yes
ACOX2		4	3	0.7%	No
AXIN2		3	3	0.7%	Yes
FZD9		3	3	0.7%	No
GFI1B		3	3	0.7%	No
HIST1H2BC		3	3	0.7%	Yes
HIST2H2BE		3	3	0.7%	No
HIST1H3B		3	3	0.7%	Yes
HIST1H4B		3	3	0.7%	No
PIP5K1A		3	3	0.7%	No
BFSP2		3	3	0.7%	No
ZNF282		3	3	0.7%	No
STK24		3	3	0.7%	No
RECK		3	3	0.7%	No
DUSP11		3	3	0.7%	No
CUL4A		3	3	0.7%	Yes
ATRN		3	3	0.7%	No
TTF2		3	3	0.7%	No
SUPT3H		3	3	0.7%	No
MAP4K3		3	3	0.7%	No
PPM1D		3	3	0.7%	Yes
PIK3R3		3	3	0.7%	Yes
ENC1		3	3	0.7%	No
CPZ		3	3	0.7%	No
BARX2		3	3	0.7%	No
CDK10		3	3	0.7%	No
PDLIM4		3	3	0.7%	No
PRKRA		3	3	0.7%	No
FAM193A		3	3	0.7%	No
STC2		3	3	0.7%	No
RFXANK		3	3	0.7%	No
OASL		3	3	0.7%	No
KRT38		4	3	0.7%	No
KRT36		3	3	0.7%	No
CDC23		3	3	0.7%	No
B4GALT3		3	3	0.7%	No
TRADD		4	3	0.7%	No
ADAM9		4	3	0.7%	No
ADAM7		3	3	0.7%	No
TNFRSF10A		3	3	0.7%	No
DYRK4		3	3	0.7%	No
SUCLA2		3	3	0.7%	No
GALR2		3	3	0.7%	No
CCNK		3	3	0.7%	No
CDKL1		3	3	0.7%	No
GMPS		3	3	0.7%	Yes
TMEM11		3	3	0.7%	No
AKAP4		4	3	0.7%	No
STK19		3	3	0.7%	Yes
CDC123		3	3	0.7%	No
VNN1		3	3	0.7%	No
SPHK1		3	3	0.7%	No
FUBP1		3	3	0.7%	Yes
TAX1BP1		3	3	0.7%	No
TIMELESS		3	3	0.7%	No
FUBP3		3	3	0.7%	No
P4HA2		3	3	0.7%	No
LIMD1		3	3	0.7%	No
TAF1A		3	3	0.7%	No
UBA3		3	3	0.7%	No
SLC13A2		3	3	0.7%	No
PAPSS2		3	3	0.7%	No
DIRAS3		3	3	0.7%	No
USP2		3	3	0.7%	No
USP8		3	3	0.7%	Yes
KRT75		3	3	0.7%	No
SLC16A6		3	3	0.7%	No
DYRK1B		3	3	0.7%	No
SLC28A2		3	3	0.7%	No
MYOM2		3	3	0.7%	No
SLC16A7		3	3	0.7%	No
ZMYM4		3	3	0.7%	No
ZMYM5		3	3	0.7%	No
LRRFIP1		3	3	0.7%	No
LRRFIP2		3	3	0.7%	No
LARGE1		3	3	0.7%	No
CCPG1		3	3	0.7%	No
RPS6KA5		3	3	0.7%	No
MFHAS1		3	3	0.7%	No
CYTH2		3	3	0.7%	No
MED14		3	3	0.7%	No
SOCS6		3	3	0.7%	No
TRIP11		3	3	0.7%	Yes
TAOK2		3	3	0.7%	No
SLC9A3R2		3	3	0.7%	No
SLC22A6		3	3	0.7%	No
CIAO1		3	3	0.7%	No
PEX16		3	3	0.7%	No
DDX23		3	3	0.7%	No
CHST2		3	3	0.7%	No
NCR2		3	3	0.7%	No
RASAL2		3	3	0.7%	No
PICK1		3	3	0.7%	No
CHST3		3	3	0.7%	No
ROCK2		3	3	0.7%	No
ONECUT2		3	3	0.7%	No
PIGB		3	3	0.7%	No
PGS1		3	3	0.7%	No
MAGED1		3	3	0.7%	Yes
VPS4B		3	3	0.7%	No
CHD1L		3	3	0.7%	No
SOX13		3	3	0.7%	No
PREPL		3	3	0.7%	No
RBM39		3	3	0.7%	No
AKAP12		3	3	0.7%	No
GDA		3	3	0.7%	No
AATK		3	3	0.7%	No
RGS6		3	3	0.7%	No
PPM1F		3	3	0.7%	No
CEP135		3	3	0.7%	No
LPIN2		3	3	0.7%	No
FAM53B		3	3	0.7%	No
NUP93		3	3	0.7%	Yes
EDEM1		3	3	0.7%	No
PUM1		3	3	0.7%	No
ESPL1		3	3	0.7%	No
PPP6R2		3	3	0.7%	No
AQR		3	3	0.7%	No
SEC14L5		3	3	0.7%	No
RAB11FIP3		3	3	0.7%	No
SECISBP2L		3	3	0.7%	No
KIAA0408		3	3	0.7%	No
KNTC1		3	3	0.7%	No
ARHGAP32		3	3	0.7%	No
RIPOR2		3	3	0.7%	No
SNPH		3	3	0.7%	No
ZSCAN12		3	3	0.7%	No
KIAA0513		3	3	0.7%	No
TMEM94		3	3	0.7%	No
TM9SF4		3	3	0.7%	No
DHX38		3	3	0.7%	No
BMS1		3	3	0.7%	No
SFI1		3	3	0.7%	No
DNAJC6		3	3	0.7%	No
TRIM14		3	3	0.7%	No
C2CD5		3	3	0.7%	No
RUSC2		3	3	0.7%	No
C2CD2L		3	3	0.7%	No
KIAA0319		3	3	0.7%	No
TRIM66		3	3	0.7%	No
NUAK1		3	3	0.7%	No
SNAP91		3	3	0.7%	No
KLHL21		3	3	0.7%	No
RBM19		3	3	0.7%	No
RABGAP1L		3	3	0.7%	No
SUPT7L		3	3	0.7%	No
ZBTB40		3	3	0.7%	No
MFN2		3	3	0.7%	No
DCLRE1A		3	3	0.7%	No
XYLB		3	3	0.7%	No
OXSR1		3	3	0.7%	No
CRYZL1		3	3	0.7%	No
HS3ST4		3	3	0.7%	No
PTBP3		3	3	0.7%	No
DGCR2		3	3	0.7%	No
ABI1		3	3	0.7%	Yes
SH2D3A		3	3	0.7%	No
ABCC5		3	3	0.7%	No
ABCB6		3	3	0.7%	No
TRIM10		3	3	0.7%	No
RAD50		3	3	0.7%	Yes
TRAP1		3	3	0.7%	No
OPTN		3	3	0.7%	No
CELA3A		3	3	0.7%	No
SUGP2		3	3	0.7%	No
MBNL2		3	3	0.7%	No
PLXNC1		3	3	0.7%	No
AASS		3	3	0.7%	No
ZNF197		3	3	0.7%	No
RBM6		3	3	0.7%	No
RBM5		3	3	0.7%	No
LHFPL6		3	3	0.7%	No
DHRS2		3	3	0.7%	No
CD96		3	3	0.7%	No
MSLN		3	3	0.7%	No
LRRC17		3	3	0.7%	No
SRRM1		3	3	0.7%	No
ABCC4		3	3	0.7%	No
BCKDK		3	3	0.7%	No
MARCH6		3	3	0.7%	No
ZNF267		3	3	0.7%	No
NMUR1		3	3	0.7%	No
MICU1		3	3	0.7%	No
CITED2		3	3	0.7%	No
TUBB4A		3	3	0.7%	No
TUBB4B		3	3	0.7%	No
CEPT1		3	3	0.7%	No
ST3GAL6		3	3	0.7%	No
BASP1		3	3	0.7%	No
SEC24B		3	3	0.7%	No
MCRS1		4	3	0.7%	No
LRRN2		3	3	0.7%	No
TIMM44		3	3	0.7%	No
TADA3		3	3	0.7%	No
APPBP2		3	3	0.7%	No
KAT5		3	3	0.7%	No
RNASEH2A		3	3	0.7%	No
DCTN2		3	3	0.7%	No
PROCR		4	3	0.7%	No
CCT7		3	3	0.7%	No
MAB21L2		3	3	0.7%	No
P3H4		3	3	0.7%	No
TRIM3		3	3	0.7%	No
POLR3C		3	3	0.7%	No
TAF6L		3	3	0.7%	No
CELF2		3	3	0.7%	No
CTCF		3	3	0.7%	Yes
RRAGA		3	3	0.7%	No
TNFSF13B		3	3	0.7%	No
AVIL		3	3	0.7%	No
DLL3		3	3	0.7%	No
UGT2B11		3	3	0.7%	No
